name,calories
Sourdough Slice,190
Sheldon's Oven Bottom Muffin,165
Butter spread on bread,35
Pepperoni Pizza,1300
Crisps,128
Carrs Pastie,128
Bacon (two rashers),115
Egg (Fried),100
Toblerone (1 piece),171
